LOCALIDAD,NOMBRE ORGANIZACIÓN,COMERCIALIZACIÓN,CUENTA CON BODEGA,PLANILLAJE UAESP
SUBA,COLECTIVO LOMA VERDE,"","",""
SUBA,ASOFRAIN,"",X,""
SUBA,ARAMB - ASOCIACIÓN DE RECICLADORES AMBIENTALES,X,X,""
SUBA,ARECOL - ASOCIACIÓN DE RECUPERADORES AMBIENTALISTAS DE COLOMBIA,X,X,X
SUBA,ASOCARBONERA,X,X,X
SUBA,ASOCIACION DE LIDERES DEL RECICLAJE SUPER ECA,X,X,X
SUBA,ASOCIACION DE RECICLADORES -ORA-BOGOTA RECICLA ESP,X,X,X
SUBA,ASOCIACION ECOLOGICA DE RECICLADORES -ECOORA-,X,X,""
SUBA,ASOREMEC - ASOCIACIÓN DE RECICLADORES AMBIENTALES,X,X,X
SUBA,RECICRECER - ASOCIACION DE RECICLADORES EN CRECIMIENTO,X,X,""
SUBA,SOLUCION AMBIENTAL,X,X,X
TEUSAQUILLO,ASOCIACION DE RECICLADORES POR UNA BOGOTA MEJOR - ARBO,X,X,X
TEUSAQUILLO,NEW WORLD,X,X,""
TUNJUELITO,ASOSEMILLEROS,"",X,""
TUNJUELITO,SINEAMBORE,"",X,""
TUNJUELITO,ARPC,X,"",""
TUNJUELITO,ACORB,X,X,X
TUNJUELITO,ASOCIACION DE CARRETEROS DE BOGOTA (ACB),X,X,X
USAQUEN,ASORTOBERIN,"","",""
USAQUEN,ASOCIACION DE RECUPERADORES PUNTO ECOLOGICO M Y M UNIVERSAL CONSTRUYENDO COMUNIDAD - M y M,X,X,X
USAQUEN,ASOUSAQUEN,X,X,X
USAQUEN,RECIPROGRESO,X,X,X
USME,ASOBEUM,"","",X
USME,RECICLOSOCIAL,"",X,X
USME,ARAUS,X,X,""
USME,ASOCIACION DE RECICLADORES POR UN MAÑANA MEJOR (APM),X,X,X
